"last_name, first_name","player_id","year","ab","pa","hit","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","n_outs_above_average","rel_league_reaction_distance","rel_league_burst_distance","sprint_speed"
"Happ, Ian",664023,2024,569,657,138,25,168,80,25.6,12.2,".243",".441",".341","0.782",".243",".446",".341",".345",".342","90.8","15.1",37,47,11.7,7.7,45.2,"101.590666318","95.287992294",27.9,45.9,"-2","0.6","-0.5","27.9"
"Hoerner, Nico",663538,2024,582,641,159,7,66,44,10.3,6.9,".273",".373",".335","0.708",".280",".353",".313",".313",".344","85.7","10.4",36,6,1.2,2.1,27.6,"95.980926525","91.993965849",11.9,48.4,,,,"28.4"
"Candelario, Jeimer",600869,2024,427,463,96,20,114,27,24.6,5.8,".225",".429",".279","0.708",".221",".364",".304",".280",".276","86.9","12.4",33.9,26,8.2,5.7,34.5,"97.855535823","92.968221397",29.1,51.7,,,,"27.4"
"Bogaerts, Xander",593428,2024,428,463,113,11,79,28,17.1,6,".264",".381",".307","0.688",".262",".382",".300",".305",".308","88.1","10.9",32.1,18,5.1,3.4,33.2,"98.125304802","93.133969802",18.3,44.2,,,,"27.4"
"Alonso, Pete",624413,2024,608,695,146,34,172,70,24.7,10.1,".240",".459",".329","0.788",".242",".461",".340",".343",".332","89.8","14.4",30.5,58,13.2,6.6,46.4,"102.785114727","95.699086105",24.7,42.9,,,,"26.1"
"Suwinski, Jack",669261,2024,247,277,45,9,79,27,28.5,9.7,".182",".324",".264","0.588",".220",".361",".260",".292",".299","88.9","12.9",28.8,15,8.8,4.7,38.2,"100.854161429","94.49330497",27.4,46.5,"-7","-0.8","-0.5","28.3"
"Polanco, Jorge",593871,2024,416,468,89,16,137,46,29.3,9.8,".214",".356",".297","0.653",".226",".399",".288",".309",".308","88.3","17.8",35.9,25,8.9,5.3,37.4,"99.204331655","93.755834657",28.1,44.8,,,,"27.5"
"Loperfido, Joey",694388,2024,243,262,52,4,95,13,36.3,5,".214",".350",".264","0.614",".204",".311",".268",".254",".257","88.3","12.9",40.7,6,4,5.3,34.7,"97.968544189","93.030415608",35.4,52.4,"0","-0.9","-1.7","28.8"
"Yelich, Christian",592885,2024,270,315,85,11,58,40,18.4,12.7,".315",".504",".406","0.910",".294",".471",".391",".373",".388","91.1","5.2",32.2,17,7.9,8.9,46.7,"103.017733429","96.008981238",23.1,45.7,"-2","-0.4","-2.2","28.5"
"Haniger, Mitch",571745,2024,380,423,79,12,126,40,29.8,9.5,".208",".334",".286","0.620",".216",".364",".277",".292",".294","90.6","13.7",31,23,9,8.2,45.9,"101.021551732","95.105264331",32.3,44,"-5","0.1","-0.6","26.2"
"Taylor, Michael A.",572191,2024,269,300,52,5,105,23,35,7.7,".193",".290",".253","0.543",".204",".333",".242",".270",".267","89.3","13.7",31.4,20,11.6,1.7,40.1,"100.583164074","94.548357778",39.2,49.3,"11","0.1","1.9","28.5"
"Rodgers, Brendan",663898,2024,501,539,134,13,132,31,24.5,5.8,".267",".407",".314","0.721",".248",".377",".314",".295",".297","89.3","4.9",33.1,21,5.6,7,44.1,"101.153269243","94.773964417",25.9,49.3,,,,"26.0"
"Crawford, J.P.",641487,2024,392,451,79,9,102,52,22.6,11.5,".202",".321",".304","0.625",".227",".363",".283",".309",".326","87.5","13.2",30.2,19,6.5,6.5,37.8,"98.950282708","93.58355108",20.2,41.1,,,,"26.8"
"Canha, Mark",592192,2024,393,462,95,7,96,51,20.8,11,".242",".346",".344","0.690",".212",".306",".310",".288",".322","88.4","9.6",31.5,10,3.3,5,37.4,"98.159166424","93.219326921",21.8,41.6,"0","0.1","-0.3","27.8"
"Alvarez, Francisco",682626,2024,308,342,73,11,86,30,25.1,8.8,".237",".403",".307","0.710",".220",".358",".310",".289",".292","88.8","6.9",27.2,15,6.7,6.7,42,"101.298215536","94.784205516",29.6,46.1,,,,"25.8"
"Farmer, Kyle",571657,2024,215,242,46,5,49,19,20.2,7.9,".214",".353",".293","0.646",".225",".361",".285",".294",".304","87.7","17.9",36.3,9,5.4,6,29.8,"97.025598571","92.547452202",22,48.5,,,,"25.9"
"Soderstrom, Tyler",691016,2024,189,213,44,9,53,20,24.9,9.4,".233",".429",".315","0.744",".240",".480",".322",".348",".323","91.9","9.6",31.4,20,14.6,9.5,49.6,"102.485036087","95.728140219",30.1,48.7,,,,"27.0"
"Naylor, Josh",647304,2024,563,633,137,31,105,58,16.6,9.2,".243",".456",".320","0.776",".257",".443",".332",".335",".333","89.9","11.1",30.1,39,8.4,6.1,40.9,"100.815360087","94.680816725",22.4,50.3,,,,"25.2"
"Vázquez, Christian",543877,2024,294,315,65,7,65,11,20.6,3.5,".221",".327",".248","0.575",".232",".348",".250",".265",".260","88.5","16.1",36.1,9,3.8,6.3,36.6,"98.036944138","93.213200991",20.8,51.7,,,,"24.8"
"Rizzo, Anthony",519203,2024,337,375,77,8,65,27,17.3,7.2,".228",".335",".301","0.636",".240",".340",".285",".297",".314","86.7","14.3",31,11,4,4.7,33.2,"97.798203577","92.909990255",19.3,49.1,,,,"24.5"
"Fortes, Nick",663743,2024,308,335,70,4,41,11,12.2,3.3,".227",".318",".259","0.577",".225",".290",".252",".245",".259","84.3","15.4",29,4,1.4,2.9,22.6,"95.578582782","91.819744812",13.2,49.3,,,,"26.7"
"Martin, Austin",668885,2024,233,257,59,1,47,20,18.3,7.8,".253",".352",".318","0.670",".259",".341",".297",".297",".323","87.2","12.7",39.4,2,1.1,5.3,33.5,"96.642936413","92.431606902",21.4,45.5,"-7","-1.4","-0.8","28.3"
"Wood, James",695578,2024,295,336,78,9,97,39,28.9,11.6,".264",".427",".354","0.781",".269",".439",".342",".351",".359","92.8","2.4",31.3,21,10.6,6.1,52,"104.677013333","97.028448782",29.6,38.2,"-6","0.6","-2.7","28.7"
"Burleson, Alec",676475,2024,547,595,147,21,76,35,12.8,5.9,".269",".420",".314","0.734",".273",".435",".319",".329",".320","89.7","13.6",34.3,31,6.5,7.1,41.7,"99.381927173","94.012155751",19.2,55.7,"-9","-1.1","-2.8","25.5"
"Siani, Michael",672279,2024,298,334,68,2,92,21,27.5,6.3,".228",".285",".285","0.570",".205",".265",".257",".243",".265","84.4","5.1",32.6,5,2.3,2.3,22.6,"95.786961649","91.898789433",29.5,48.9,"16","1.8","1.9","28.3"
"Winker, Jesse",608385,2024,430,508,109,14,106,63,20.9,12.4,".253",".405",".360","0.765",".245",".384",".338",".329",".353","88.6","14",30.1,25,7.6,3.3,37.4,"98.91091179","93.570274815",19.6,43.2,"-11","-1.3","-2.3","26.1"
